I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
38622740.000000,-0.033927,0.265506,0.006671,-0.003515,0.001326,0.001196,-2.563909,-0.270311,9.385434,1.958000,9.733091,0.006671,51.875000,-0.005134,-0.001061
38624736.000000,-0.033917,0.265501,0.006671,0.002876,-0.002935,-0.000935,-2.563909,-0.270311,9.385434,2.005000,9.733091,0.006671,51.875000,-0.005124,-0.001066
38626740.000000,-0.033908,0.265500,0.006679,0.001811,-0.001870,0.003326,-2.583666,-0.285577,9.427642,2.005000,9.779433,0.006679,51.875000,-0.003625,-0.001868
38628740.000000,-0.033911,0.265489,0.006668,-0.000319,-0.005066,-0.005196,-2.564807,-0.317907,9.415967,2.005000,9.764207,0.006668,51.875000,-0.000161,-0.000303
38630740.000000,-0.033908,0.265481,0.006676,-0.000319,-0.002935,0.003326,-2.546846,-0.303538,9.467155,2.052000,9.808445,0.006676,51.875000,-0.001856,0.002812
38632740.000000,-0.033906,0.265488,0.006682,0.000746,0.002391,0.003326,-2.579176,-0.331377,9.403395,1.958000,9.756320,0.006682,51.875000,0.001320,-0.002052
38634740.000000,-0.033905,0.265486,0.006676,0.001811,-0.001870,-0.003065,-2.579176,-0.331377,9.403395,2.005000,9.756320,0.006676,51.875000,0.001320,-0.002054
38636740.000000,-0.033920,0.265471,0.006659,-0.005646,-0.007196,-0.008392,-2.563011,-0.314315,9.402496,2.005000,9.750628,0.006659,51.875000,-0.000504,-0.000510
38638740.000000,-0.033919,0.265465,0.006663,-0.001385,-0.004001,0.001196,-2.577380,-0.288271,9.426744,2.005000,9.776987,0.006663,51.875000,-0.003348,-0.001305
38640748.000000,-0.033910,0.265459,0.006661,0.003942,-0.004001,-0.000935,-2.580972,-0.302640,9.375555,2.051000,9.729031,0.006661,51.875000,-0.001641,-0.003041
38642760.000000,-0.033901,0.265467,0.006664,0.002876,0.002391,0.001196,-2.585462,-0.293660,9.389924,1.959000,9.743794,0.006664,51.875000,-0.002637,-0.003094
