I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25
115060776.000000,-0.005316,0.256553,0.017522,0.001241,-0.002021,-0.012343,-2.467818,-0.068251,9.456379,1.957000,-0.012749,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115062776.000000,-0.005310,0.256533,0.017519,0.003371,0.004371,-0.001690,-2.456144,-0.046698,9.506669,2.004000,-0.001771,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115064784.000000,-0.005320,0.256544,0.017509,0.002306,0.005436,-0.004886,-2.483983,-0.062863,9.456379,2.005000,-0.005081,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115066776.000000,-0.005328,0.256555,0.017507,0.002306,0.005436,-0.000625,-2.483983,-0.062863,9.456379,2.004000,-0.000676,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115068776.000000,-0.005322,0.256542,0.017506,0.003371,0.000110,-0.000625,-2.473207,-0.046698,9.485116,2.051000,-0.000646,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115070776.000000,-0.005322,0.256536,0.017522,0.002306,0.001175,0.007897,-2.475901,-0.057475,9.474340,1.957000,0.008158,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115072776.000000,-0.005328,0.256543,0.017523,-0.001955,0.008632,0.000441,-2.471411,-0.050290,9.464461,2.005000,0.000408,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115074784.000000,-0.005340,0.256509,0.017519,-0.001955,0.001175,-0.001690,-2.437285,-0.055679,9.476136,2.003000,-0.001754,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115076784.000000,-0.005335,0.256465,0.017516,0.006567,-0.004151,-0.001690,-2.437285,-0.055679,9.476136,2.005000,-0.001724,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115078784.000000,-0.005329,0.256474,0.017512,0.004436,0.003306,-0.001690,-2.482187,-0.049392,9.439317,2.051000,-0.001765,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115080816.000000,-0.005333,0.256495,0.017515,-0.000890,0.000110,0.001506,-2.504638,-0.051188,9.425846,1.958000,0.001556,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115082784.000000,-0.005347,0.256462,0.017509,0.004436,-0.002021,-0.002755,-2.452552,-0.075436,9.497689,2.005000,-0.002837,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115084784.000000,-0.005333,0.256428,0.017495,0.006567,-0.003086,-0.007016,-2.443572,-0.039514,9.459971,2.003000,-0.007236,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115086776.000000,-0.005318,0.256394,0.017505,0.003371,-0.003086,0.004702,-2.443572,-0.039514,9.459971,2.004000,0.004877,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115088784.000000,-0.005314,0.256416,0.017512,-0.000890,0.007567,0.003636,-2.494760,-0.040412,9.468054,2.051000,0.003718,38.625000,0.000890,-0.000110,0.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
