I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
50548736.000000,-0.055187,0.525851,0.048396,0.008522,0.000000,0.000000,-2.747110,-0.289169,9.405190,1.958000,9.802441,0.048396,0.000000,-0.024451,0.241799
50550736.000000,-0.055194,0.525849,0.048378,0.005326,0.002131,-0.006392,-2.714780,-0.310722,9.432132,2.004000,9.819963,0.048378,0.000000,-0.022263,0.245746
50552736.000000,-0.055210,0.525856,0.048375,-0.004261,0.006392,0.000000,-2.698615,-0.292762,9.395312,2.004000,9.779577,0.048375,0.000000,-0.024059,0.246285
50554736.000000,-0.055197,0.525883,0.048382,0.003196,0.013848,0.003196,-2.732741,-0.243369,9.431234,2.004000,9.822183,0.048382,0.000000,-0.029398,0.243941
50556744.000000,-0.055178,0.525889,0.048401,0.005326,0.006392,0.008522,-2.694125,-0.266718,9.424948,2.051000,9.806074,0.048401,0.000000,-0.026886,0.247569
50558736.000000,-0.055176,0.525882,0.048411,-0.001065,0.000000,0.004261,-2.694125,-0.266718,9.424948,1.957000,9.806074,0.048411,0.000000,-0.026884,0.247562
50560736.000000,-0.055177,0.525882,0.048420,0.001065,0.002131,0.005326,-2.702208,-0.305334,9.385434,2.004000,9.771465,0.048420,0.000000,-0.022656,0.245689
50562736.000000,-0.055190,0.525890,0.048422,-0.003196,0.003196,0.002131,-2.747110,-0.301742,9.421355,2.004000,9.818329,0.048422,0.000000,-0.023173,0.242310
50564736.000000,-0.055180,0.525909,0.048428,0.004261,0.011718,0.003196,-2.722862,-0.266718,9.460870,2.004000,9.848512,0.048428,0.000000,-0.026995,0.245785
50566744.000000,-0.055193,0.525914,0.048411,0.003196,0.005326,-0.005326,-2.704004,-0.320601,9.389026,2.051000,9.775900,0.048411,0.000000,-0.021059,0.245661
50568736.000000,-0.055205,0.525908,0.048403,0.001065,-0.001065,-0.002131,-2.704004,-0.320601,9.389026,1.958000,9.775900,0.048403,0.000000,-0.021072,0.245655
50570736.000000,-0.055211,0.525914,0.048392,0.004261,0.004261,-0.003196,-2.722862,-0.309824,9.398905,2.004000,9.790270,0.048392,0.000000,-0.022259,0.244079
50572736.000000,-0.055209,0.525939,0.048398,0.000000,0.011718,0.003196,-2.737231,-0.263126,9.399802,2.004000,9.793771,0.048398,0.000000,-0.027223,0.242679
50574736.000000,-0.055204,0.525943,0.048419,-0.001065,0.003196,0.009587,-2.719270,-0.279291,9.424948,2.004000,9.813362,0.048419,0.000000,-0.025579,0.245169
50576748.000000,-0.055193,0.525927,0.048433,0.003196,-0.002131,0.006392,-2.670776,-0.279291,9.420458,2.051000,9.795717,0.048433,0.000000,-0.025555,0.249783
50578736.000000,-0.055201,0.525911,0.048428,-0.001065,-0.002131,-0.002131,-2.670776,-0.279291,9.420458,1.957000,9.795717,0.048428,0.000000,-0.025563,0.249767
50580736.000000,-0.055208,0.525899,0.048435,0.000000,-0.004261,0.004261,-2.717474,-0.317009,9.409681,2.004000,9.799350,0.048435,0.000000,-0.021531,0.244904
50582736.000000,-0.055209,0.525897,0.048439,0.004261,-0.001065,0.005326,-2.711188,-0.338562,9.377352,1.049000,9.767286,0.048439,0.000000,-0.019120,0.244624
50584736.000000,-0.055202,0.525916,0.048434,0.007457,0.008522,0.000000,-2.704902,-0.306232,9.381842,2.959000,9.768788,0.048434,0.000000,-0.022572,0.245358
50586748.000000,-0.055199,0.525926,0.048435,0.003196,0.007457,0.002131,-2.750702,-0.275699,9.393517,1.002000,9.791860,0.048435,0.000000,-0.025858,0.241176
