I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
40666772.000000,0.081520,0.402229,1.539549,-0.934237,-0.054328,3.179814,-3.603841,-0.024247,9.208520,2.004000,9.888635,1.539500,0.000000,0.084153,0.029195
40668772.000000,0.082235,0.401893,1.546463,-0.955542,-0.059655,3.190467,-3.603841,-0.024247,9.208520,2.005000,9.888635,1.546414,0.000000,0.084868,0.028859
40670772.000000,0.082928,0.401617,1.553368,-0.951281,-0.057524,3.190467,-3.865171,-0.167036,9.007359,2.004000,9.803059,1.553320,0.000000,0.101470,-0.003669
40672772.000000,0.083702,0.401112,1.560461,-0.954477,-0.062851,3.200054,-2.883612,0.184997,9.397108,2.051000,9.831331,1.560412,0.000000,0.064018,0.103426
40674772.000000,0.084291,0.400749,1.567248,-0.959803,-0.063916,3.223490,-3.473625,-0.598096,9.026217,1.957000,9.690015,1.567199,0.000000,0.150457,0.034115
40676772.000000,0.084829,0.400368,1.574157,-0.951281,-0.056459,3.211772,-3.481708,-0.973477,9.399802,2.004000,10.071059,1.574108,0.000000,0.188025,0.047368
40678772.000000,0.085339,0.400003,1.580964,-0.943824,-0.051133,3.164901,-3.481708,-0.973477,9.399802,2.004000,10.071059,1.580916,0.000000,0.188534,0.047003
40680772.000000,0.085954,0.399590,1.587748,-0.927845,-0.047937,3.144661,-3.130573,-0.480452,9.258810,2.005000,9.785545,1.587699,0.000000,0.137799,0.073947
40682772.000000,0.086834,0.399217,1.594757,-0.924650,-0.059655,3.155313,-3.614618,0.668143,9.309100,2.050000,10.008557,1.594708,0.000000,0.015184,0.029714
40684772.000000,0.087469,0.398803,1.601465,-0.955542,-0.060720,3.179814,-3.332633,-0.149075,9.366575,1.958000,9.942907,1.601417,0.000000,0.103383,0.057010
40686772.000000,0.088021,0.398432,1.608336,-0.965130,-0.058590,3.189402,-3.432315,-0.543315,8.830444,2.004000,9.489612,1.608287,0.000000,0.149471,0.028350
40688772.000000,0.088598,0.398049,1.615195,-0.949151,-0.063916,3.185141,-3.432315,-0.543315,8.830444,2.004000,9.489612,1.615146,0.000000,0.150048,0.027967
40690772.000000,0.089380,0.397595,1.622140,-0.948085,-0.058590,3.208576,-3.271566,0.374483,9.461767,2.004000,10.018404,1.622092,0.000000,0.049822,0.064938
40692772.000000,0.089873,0.397140,1.629170,-0.959803,-0.062851,3.200054,-3.252707,-0.931269,9.133084,2.051000,9.739640,1.629122,0.000000,0.191489,0.056633
40694772.000000,0.090331,0.396795,1.635791,-0.940629,-0.066046,3.157444,-3.641559,-0.989642,8.822362,1.958000,9.595541,1.635743,0.000000,0.202039,0.007533
40696772.000000,0.091140,0.396320,1.642583,-0.911866,-0.057524,3.138269,-3.158413,0.498413,9.539897,2.004000,10.061492,1.642535,0.000000,0.038942,0.077011
40698772.000000,0.091923,0.395828,1.649388,-0.924650,-0.063916,3.145726,-3.158413,0.498413,9.539897,2.004000,10.061492,1.649339,0.000000,0.039726,0.076518
40700772.000000,0.092547,0.395406,1.656185,-0.950216,-0.069242,3.152117,-3.442194,-0.061965,8.999276,2.004000,9.635326,1.656136,0.000000,0.099433,0.030087
40702772.000000,0.093177,0.395025,1.663157,-0.945955,-0.060720,3.160640,-3.718791,-0.175118,9.177986,2.051000,9.904317,1.663109,0.000000,0.112255,0.010119
40704772.000000,0.093872,0.394540,1.669843,-0.941694,-0.058590,3.171292,-3.137758,0.258636,9.468952,1.957000,9.978651,1.669794,0.000000,0.066565,0.074666
40706772.000000,0.094454,0.394105,1.676704,-0.948085,-0.056459,3.188337,-3.380229,-0.384362,9.176190,2.005000,9.786530,1.676655,0.000000,0.136316,0.041444
40708772.000000,0.095026,0.393676,1.683542,-0.947020,-0.052198,3.179814,-3.380229,-0.384362,9.176190,2.004000,9.786530,1.683494,0.000000,0.136889,0.041015
40710792.000000,0.095583,0.393264,1.690336,-0.935302,-0.058590,3.161705,-3.545469,-0.493923,9.195947,2.004000,9.868117,1.690287,0.000000,0.149242,0.025762
40712772.000000,0.096220,0.392740,1.697294,-0.931041,-0.056459,3.160640,-3.067710,-0.167934,9.415967,2.051000,9.904518,1.697245,0.000000,0.114053,0.077833
40714772.000000,0.096730,0.392336,1.703898,-0.936367,-0.054328,3.149987,-3.450276,-0.549601,9.041484,1.957000,9.693033,1.703849,0.000000,0.157442,0.028401
40716772.000000,0.097283,0.391907,1.710623,-0.931041,-0.068177,3.130812,-3.472727,-0.353828,8.919351,2.004000,9.578092,1.710575,0.000000,0.136932,0.020883
40718772.000000,0.097858,0.391467,1.717338,-0.916127,-0.072438,3.125486,-3.472727,-0.353828,8.919351,2.005000,9.578092,1.717289,0.000000,0.137507,0.020443
40720772.000000,0.098511,0.390937,1.724077,-0.918258,-0.063916,3.132943,-3.099142,0.048494,9.448297,2.004000,9.943708,1.724029,0.000000,0.093378,0.073988
40722752.000000,0.099164,0.390527,1.731010,-0.936367,-0.058590,3.144661,-3.661316,0.103275,9.054056,2.051000,9.766874,1.730961,0.000000,0.087758,0.006270
40724772.000000,0.099737,0.390057,1.737625,-0.938498,-0.055394,3.152117,-3.307487,-0.126624,9.365677,1.957000,9.933349,1.737576,0.000000,0.113256,0.050608
40726772.000000,0.100262,0.389539,1.744381,-0.939563,-0.058590,3.151052,-3.112612,-0.384362,9.272281,2.004000,9.788323,1.744333,0.000000,0.141691,0.065928
40728772.000000,0.100784,0.388999,1.751132,-0.937433,-0.068177,3.149987,-3.112612,-0.384362,9.272281,2.004000,9.788323,1.751083,0.000000,0.142214,0.065388
40730772.000000,0.101336,0.388526,1.757896,-0.937433,-0.070307,3.151052,-3.561633,-0.249656,9.354002,2.005000,10.012239,1.757847,0.000000,0.128019,0.024833
40732772.000000,0.101757,0.387983,1.764729,-0.936367,-0.070307,3.125486,-3.216785,-0.811830,9.361187,2.051000,9.931697,1.764681,0.000000,0.188264,0.058144
40734772.000000,0.102317,0.387567,1.771212,-0.912932,-0.061785,3.091398,-3.534692,-0.101479,8.937311,1.957000,9.611445,1.771163,0.000000,0.113671,0.010969
40736772.000000,0.103131,0.387079,1.777922,-0.906540,-0.061785,3.106311,-3.477217,1.016583,9.526426,2.004000,10.192020,1.777873,0.000000,-0.003179,0.038917
40738772.000000,0.103894,0.386571,1.784686,-0.939563,-0.067112,3.132943,-3.477217,1.016583,9.526426,2.004000,10.192020,1.784638,0.000000,-0.002415,0.038409
40740760.000000,0.104315,0.386078,1.791396,-0.951281,-0.073503,3.138269,-3.396394,-0.573849,8.921146,2.004000,9.563035,1.791347,0.000000,0.168552,0.022995
40742772.000000,0.104809,0.385597,1.798249,-0.917193,-0.063916,3.131877,-3.364064,-0.561276,8.783746,2.051000,9.422640,1.798200,0.000000,0.168621,0.020522
40744772.000000,0.105490,0.385001,1.804829,-0.906540,-0.059655,3.135073,-2.908757,0.418487,9.724894,1.958000,10.159210,1.804780,0.000000,0.062484,0.094620
40746772.000000,0.105841,0.384515,1.811528,-0.936367,-0.059655,3.143595,-3.417947,-1.040830,9.157331,2.004000,9.829670,1.811479,0.000000,0.219017,0.029380
40748772.000000,0.106162,0.384041,1.818144,-0.934237,-0.057524,3.105246,-3.417947,-1.040830,9.157331,2.004000,9.829670,1.818095,0.000000,0.219338,0.028905
40750772.000000,0.106585,0.383614,1.824689,-0.895887,-0.059655,3.066896,-3.675685,-0.761539,9.142064,2.004000,9.882710,1.824641,0.000000,0.189694,0.002526
